School,Company,NIL value,Instagram Followers,TikTok Followers,Twitter Followers,Kmeans
Florida State Seminoles,500 Level,271000.0,16300.0,3500.0,160.0,5
Undecided,500 Level,110000.0,29000.0,4300.0,32000.0,5
Oklahoma State Cowboys,Eskimo Joe’s,238000.0,18000.0,13.0,14100.0,5
Arizona State Sun Devils,Burrito Express,36000.0,4600.0,287.0,3800.0,0
Kansas Jayhawks,Applebee's Grill + Bar,88000.0,28000.0,45000.0,12700.0,0
Undecided,Applebee's Grill + Bar,35000.0,4300.0,1300.0,2800.0,0
Penn State Nittany Lions,Kick The Sheets,37000.0,2400.0,37.0,1500.0,0
LSU Tigers,Gordon McKernan Injury Attorneys,65000.0,17500.0,3100.0,2300.0,1
LSU Tigers,Gordon McKernan Injury Attorneys,516000.0,59000.0,194.0,15400.0,1
LSU Tigers,Gordon McKernan Injury Attorneys,225000.0,37000.0,418.0,13400.0,1
LSU Tigers,Gordon McKernan Injury Attorneys,52000.0,18400.0,2300.0,5700.0,1
LSU Tigers,Gordon McKernan Injury Attorneys,67000.0,15000.0,91.0,13500.0,1
LSU Tigers,Gordon McKernan Injury Attorneys,182000.0,14600.0,249.0,6700.0,1
LSU Tigers,Gordon McKernan Injury Attorneys,63000.0,15200.0,36.0,2400.0,1
LSU Tigers,Gordon McKernan Injury Attorneys,64000.0,15100.0,5900.0,5100.0,1
LSU Tigers,Gordon McKernan Injury Attorneys,41000.0,3800.0,123.0,4000.0,1
Texas Longhorns,Nyle Maxwell Family of Dealerships,86000.0,88000.0,106000.0,1300.0,0
Oklahoma Sooners,Mercury,84000.0,10200.0,78000.0,14300.0,1
Oklahoma Sooners,Mercury,68000.0,5000.0,1500.0,8800.0,1
Clemson Tigers,Mercury,58000.0,8300.0,584.0,6000.0,1
Clemson Tigers,Mercury,49000.0,12300.0,467.0,4000.0,1
Clemson Tigers,Mercury,256000.0,9600.0,138.0,2900.0,1
Clemson Tigers,Mercury,197000.0,7800.0,6.0,2000.0,1
Clemson Tigers,Mercury,241000.0,135000.0,20000.0,19700.0,1
Clemson Tigers,Mercury,106000.0,40000.0,70000.0,39000.0,1
Clemson Tigers,Mercury,293000.0,42000.0,161000.0,23000.0,1
UCF Knights,Mercury,102000.0,49000.0,14000.0,25000.0,1
Kentucky Wildcats,Mercury,524000.0,76000.0,139000.0,42000.0,1
Michigan Wolverines,Wolverine+,233000.0,65000.0,121000.0,16400.0,5
Michigan Wolverines,Wolverine+,92000.0,30000.0,1200.0,14000.0,5
Oregon Ducks,HighlightHER,21000.0,6100.0,30000.0,1700.0,1
Arizona Wildcats,HighlightHER,32000.0,17500.0,57000.0,1400.0,1
Florida State Seminoles,HighlightHER,29000.0,16600.0,16300.0,880.0,1
Undecided,HighlightHER,12900.0,2000.0,139.0,850.0,1
Undecided,HighlightHER,18300.0,13800.0,2000.0,1700.0,1
UCLA Bruins,HighlightHER,45000.0,41000.0,2400.0,3500.0,1
Oregon Ducks,HighlightHER,22000.0,10100.0,5100.0,1800.0,1
Connecticut Huskies,HighlightHER,26000.0,19000.0,353.0,2400.0,1
Oklahoma Sooners,ScienceLogic,80000.0,7400.0,307.0,14700.0,0
Maryland Terrapins,ScienceLogic,105000.0,29000.0,6.0,15100.0,0
Tennessee Volunteers,The Athletic Collection,53000.0,9400.0,949.0,5900.0,1
UCLA Bruins,The Athletic Collection,38000.0,4300.0,1700.0,397.0,1
LSU Tigers,The Athletic Collection,65000.0,17500.0,3100.0,2300.0,1
Oklahoma State Cowboys,The Athletic Collection,51000.0,10000.0,28.0,5500.0,1
LSU Tigers,The Athletic Collection,516000.0,59000.0,194.0,15400.0,1
Oklahoma State Cowboys,The Athletic Collection,238000.0,18000.0,13.0,14100.0,1
UCLA Bruins,The Athletic Collection,22000.0,12300.0,4300.0,1100.0,1
VCU Rams,Home Team Grill,14000.0,8000.0,55.0,1800.0,0
Texas Longhorns,Daps,86000.0,88000.0,106000.0,1300.0,1
Kentucky Wildcats,Daps,42000.0,32000.0,5400.0,13000.0,1
North Carolina Tar Heels,Daps,245000.0,35000.0,3500.0,2900.0,1
California Golden Bears,Daps,33000.0,29000.0,5.0,757.0,1
South Carolina Gamecocks,Orangetheory Fitness,102000.0,107000.0,31000.0,28000.0,5
Texas Tech Red Raiders,Keller Williams Sports + Entertainment,164000.0,2900.0,186.0,3500.0,0
Clemson Tigers,Game Day Products,59000.0,10000.0,80.0,3500.0,0
LSU Tigers,Game Day Products,225000.0,37000.0,418.0,13400.0,0
UCLA Bruins,LA Sports Innovation Conference,105000.0,37000.0,659.0,21000.0,0
Pittsburgh Panthers,Primanti Bros,19500.0,9400.0,44000.0,2500.0,0
Pittsburgh Panthers,Primanti Bros,16100.000000000002,10400.0,26.0,3000.0,0
Ohio State Buckeyes,Playa Bowls,21000.0,3600.0,54.0,1100.0,0
LSU Tigers,Playa Bowls,65000.0,17500.0,3100.0,2300.0,0
Undecided,Lids,83000.0,100000.0,181.0,2100.0,0
Duke Blue Devils,Lids,143000.0,37000.0,5400.0,5200.0,0
Kentucky Wildcats,Lids,163000.0,86000.0,30000.0,6300.0,0
Stanford Cardinal,Integrated Psychological Assessment Services,42000.0,13500.0,40000.0,8000.0,0
Stanford Cardinal,Fans Meet Idols,42000.0,13500.0,40000.0,8000.0,1
Utah Utes,Fans Meet Idols,15200.0,2900.0,8000.0,596.0,1
Oklahoma Sooners,Fans Meet Idols,199000.0,241000.0,2100.0,10000.0,1
UCLA Bruins,Fans Meet Idols,72000.0,17600.0,118000.0,1900.0,1
Florida Gators,Fans Meet Idols,42000.0,34000.0,5200.0,4700.0,1
Florida Gators,Fans Meet Idols,76000.0,77000.0,4800.0,9600.0,1
Florida Gators,Fans Meet Idols,35000.0,15400.0,76000.0,1300.0,1
Auburn Tigers,Fans Meet Idols,22000.0,9700.0,1400.0,273.0,1
Boise State Broncos,Wiseguy Pizza Pie,28000.0,4600.0,1600.0,3200.0,0
USC Trojans,Lacrosse Unlimited,12000.0,4600.0,9500.0,555.0,0
Maryland Terrapins,Lacrosse Unlimited,15000.0,3100.0,495.0,4.0,0
Clemson Tigers,Clemson Area African American Museum,44000.0,4800.0,183.0,3100.0,0
UCLA Bruins,Jordan Brand,45000.0,41000.0,2400.0,3500.0,0
Creighton Bluejays,MarketPryce,10300.0,3000.0,4900.0,172.0,0
Oklahoma Sooners,North Rock Creek Baseball & Softball Camp,17700.0,2600.0,18.0,970.0,0
Wisconsin Badgers,Culver's Restaurants,257000.0,8500.0,108.0,5000.0,0
Kansas Jayhawks,Johnny's Tavern,42000.0,10700.0,694.0,2.0,0
Kansas Jayhawks,Johnny's Tavern,88000.0,28000.0,45000.0,12700.0,0
Kansas Jayhawks,Long McArthur Ford,178000.0,92000.0,55000.0,9600.0,5
Oklahoma State Cowboys,Dolores Lemon & Associates Real Estate Professiona,51000.0,10000.0,28.0,5500.0,0
Vanderbilt Commodores,Recruiting Analytics,41000.0,8800.0,11500.0,5600.0,0
Clemson Tigers,Girls Inc St. Louis,15600.0,2000.0,178.0,458.0,0
Clemson Tigers,Clemson Downs,15600.0,2000.0,178.0,458.0,5
Clemson Tigers,Clemson Downs,396000.0,151000.0,6500.0,41000.0,5
Undecided,Made Equal Clothing Co.,58000.0,9400.0,2400.0,5600.0,0
Undecided,Champs Sports,28000.0,5000.0,24000.0,1800.0,0
Duke Blue Devils,Champs Sports,101000.0,98000.0,176000.0,1000.0,0
Baylor Bears,Champs Sports,213000.0,252000.0,145000.0,6500.0,0
Purdue Boilermakers,Versiti Blood Center of Indiana,20000.0,8700.0,242.0,2900.0,0
Purdue Boilermakers,Versiti Blood Center of Indiana,25000.0,13900.0,106.0,6300.0,0
Michigan State Spartans,Hungry Howie's,58000.0,2600.0,83.0,1700.0,0
Michigan State Spartans,Hungry Howie's,63000.0,9300.0,134.0,5.0,0
Michigan State Spartans,Hungry Howie's,58000.0,2600.0,186.0,2000.0,0
Iowa Hawkeyes,Iowa Giving Crew,175000.0,6000.0,4.0,5000.0,0
Ohio State Buckeyes,Kane Footwear,436000.0,137000.0,1700.0,38000.0,5
Ohio State Buckeyes,Kane Footwear,292000.0,18700.0,179.0,10000.0,5
Ohio State Buckeyes,Kane Footwear,240000.0,33000.0,2000.0,17500.0,5
Clemson Tigers,Pickens County Humane,17400.0,4100.0,82.0,1300.0,0
Creighton Bluejays,Little King Deli & Subs,8900.0,1800.0,123.0,264.0,1
Creighton Bluejays,Little King Deli & Subs,9100.0,1900.0,150.0,752.0,1
Creighton Bluejays,Little King Deli & Subs,8800.0,1700.0,124.0,234.0,1
Creighton Bluejays,Little King Deli & Subs,11700.0,4700.0,6400.0,829.0,1
Creighton Bluejays,Little King Deli & Subs,8800.0,1600.0,72.0,417.0,1
Creighton Bluejays,Little King Deli & Subs,14700.0,3000.0,44000.0,679.0,1
Creighton Bluejays,Little King Deli & Subs,10300.0,3000.0,4900.0,172.0,1
Creighton Bluejays,Little King Deli & Subs,10000.0,3100.0,1600.0,567.0,1
Creighton Bluejays,Little King Deli & Subs,10000.0,3200.0,425.0,558.0,1
UCLA Bruins,Outback Steakhouse,39000.0,4900.0,558.0,1500.0,1
Ole Miss Rebels,Outback Steakhouse,24000.0,4500.0,46.0,2100.0,1
Vanderbilt Commodores,Outback Steakhouse,42000.0,2900.0,100000.0,874.0,1
Clemson Tigers,Outback Steakhouse,66000.0,14900.0,149.0,7800.0,1
Florida Gators,Outback Steakhouse,70000.0,22000.0,1100.0,1800.0,1
North Carolina Tar Heels,Outback Steakhouse,392000.0,30000.0,919.0,7100.0,1
Alabama State Hornets,Outback Steakhouse,74000.0,24000.0,22000.0,15200.0,1
Michigan Wolverines,Outback Steakhouse,207000.0,82000.0,373000.0,12400.0,1
Georgia Bulldogs,Outback Steakhouse,189000.0,58000.0,4700.0,25000.0,1
Wisconsin Badgers,Outback Steakhouse,380000.0,82000.0,9000.0,22000.0,1
Washington Huskies,Outback Steakhouse,38000.0,30000.0,17000.0,5800.0,1
Maryland Terrapins,Outback Steakhouse,19400.0,7900.0,7100.0,1300.0,1
Louisville Cardinals,Clarks Shoes,84000.0,79000.0,86000.0,690.0,0
Louisville Cardinals,Raising Cane's,99000.0,27000.0,364.0,10500.0,1
LSU Tigers,Raising Cane's,52000.0,18400.0,2300.0,5700.0,1
LSU Tigers,Raising Cane's,75000.0,23000.0,628.0,11900.0,1
LSU Tigers,Raising Cane's,225000.0,37000.0,418.0,13400.0,1
Wisconsin Badgers,Raising Cane's,169000.0,71000.0,900.0,26000.0,1
Undecided,Raising Cane's,171000.0,85000.0,4300.0,24000.0,1
UCLA Bruins,Sprouts Farmers Market,70000.0,75000.0,3100.0,2100.0,0
Texas Longhorns,Sprouts Farmers Market,49000.0,38000.0,11100.0,3100.0,0
UCLA Bruins,Sprouts Farmers Market,22000.0,12300.0,4300.0,1100.0,0
South Carolina Gamecocks,Clean Energy,208000.0,25000.0,29.0,14400.0,0
Notre Dame Fighting Irish,Clean Energy,18500.0,5000.0,537.0,4000.0,0
NC State Wolfpack,The V Foundation,25000.0,21000.0,4400.0,5500.0,0
NC State Wolfpack,The V Foundation,10200.0,3300.0,1900.0,926.0,0
NC State Wolfpack,The V Foundation,19700.0,14200.0,13400.0,3000.0,0
NC State Wolfpack,The V Foundation,15000.0,9700.0,156.0,706.0,0
NC State Wolfpack,The V Foundation,19800.0,15600.0,480.0,2100.0,0
NC State Wolfpack,The V Foundation,15000.0,8100.0,12500.0,611.0,0
Kansas Jayhawks,RockChalk.io,42000.0,10700.0,694.0,2.0,0
Kansas Jayhawks,RockChalk.io,88000.0,28000.0,45000.0,12700.0,0
Tennessee Volunteers,AT&T Fiber,26000.0,15000.0,831.0,2000.0,0
Virginia Cavaliers,Dexcom,19000.0,6900.0,850.0,4500.0,0
Undecided,Dexcom,11900.0,5700.0,197.0,389.0,0
Villanova Wildcats,WME Sports,551000.0,32000.0,1400.0,2400.0,1
Texas Longhorns,WME Sports,235000.0,14600.0,989.0,4800.0,1
Undecided,WME Sports,24000.0,21000.0,11500.0,1200.0,1
Kansas Jayhawks,WME Sports,178000.0,92000.0,55000.0,9600.0,1
Ohio State Buckeyes,Moolah Kicks,22000.0,4300.0,2300.0,587.0,0
Penn State Nittany Lions,Moolah Kicks,63000.0,26000.0,246000.0,1200.0,0
Arkansas Razorbacks,Bad Boy Mowers,437000.0,56000.0,8900.0,16400.0,5
Kentucky Wildcats,Kentucky Branded,197000.0,7800.0,9200.0,4500.0,0
NC State Wolfpack,adidas,10200.0,3300.0,1900.0,926.0,0
Louisville Cardinals,adidas,84000.0,79000.0,86000.0,690.0,0
UCLA Bruins,Wescom Credit Union,70000.0,75000.0,3100.0,2100.0,0
West Virginia Mountaineers,Par Mar Stores,44000.0,1800.0,1.0,1900.0,0
West Virginia Mountaineers,Par Mar Stores,163000.0,2900.0,8.0,2900.0,0
Illinois Fighting Illini,NextName,91000.0,25000.0,29.0,18800.0,1
Illinois Fighting Illini,NextName,22000.0,10600.0,501.0,5100.0,1
Undecided,NextName,14900.0,2200.0,148.0,457.0,1
Illinois Fighting Illini,NextName,22000.0,9800.0,720.0,5100.0,1
Illinois Fighting Illini,NextName,26000.0,14800.0,155.0,8400.0,1
Illinois Fighting Illini,NextName,16400.0,3800.0,77.0,1400.0,1
Illinois Fighting Illini,NextName,27000.0,15500.0,151.0,8000.0,1
Illinois Fighting Illini,NextName,41000.0,33000.0,32000.0,10100.0,1
Illinois Fighting Illini,NextName,20000.0,7900.0,191.0,4200.0,1
Illinois Fighting Illini,NextName,28000.0,17100.0,2000.0,8600.0,1
Undecided,NextName,133000.0,1900.0,31.0,2300.0,1
Illinois Fighting Illini,NextName,32000.0,1500.0,48.0,1100.0,1
Utah Utes,Red Rock Pharmacy,15500.0,4200.0,1800.0,216.0,1
Utah Utes,Red Rock Pharmacy,15200.0,2900.0,8000.0,596.0,1
Utah Utes,Red Rock Pharmacy,32000.0,26000.0,3000.0,1700.0,1
Utah Utes,Red Rock Pharmacy,14300.0,120.0,15700.0,1600.0,1
Utah Utes,Red Rock Pharmacy,208000.0,239000.0,149000.0,28000.0,1
Utah Utes,Red Rock Pharmacy,18000.0,7000.0,5600.0,907.0,1
Utah Utes,Red Rock Pharmacy,15200.0,4000.0,834.0,176.0,1
Utah Utes,Red Rock Pharmacy,16800.0,5800.0,3200.0,208.0,1
Utah Utes,Red Rock Pharmacy,42000.0,40000.0,602.0,108.0,1
Utah Utes,Red Rock Pharmacy,17600.0,7000.0,474.0,1100.0,1
Pittsburgh Panthers,Dunkin',12400.0,5100.0,9600.0,276.0,1
Pittsburgh Panthers,Dunkin',10800.0,4200.0,493.0,677.0,1
Pittsburgh Panthers,Dunkin',17900.0,5500.0,56000.0,293.0,1
Pittsburgh Panthers,Dunkin',19500.0,9400.0,44000.0,2500.0,1
Pittsburgh Panthers,Dunkin',24000.0,4800.0,110000.0,632.0,1
Pittsburgh Panthers,Dunkin',14200.0,5900.0,19700.0,299.0,1
Pittsburgh Panthers,Dunkin',280000.0,4800.0,1500.0,2100.0,1
Michigan Wolverines,Dunkin',554000.0,133000.0,889.0,47000.0,1
North Carolina Tar Heels,Dunkin',193000.0,180000.0,402000.0,10100.0,1
TCU Horned Frogs,TIAA,10900.0,3300.0,8400.0,852.0,0
Maryland Terrapins,TIAA,17700.0,6500.0,1400.0,296.0,0
Ohio State Buckeyes,Mark Wahlberg Chevrolet of Columbus,314000.0,37000.0,493.0,13700.0,5
Pittsburgh Panthers,Northside Food Pantry Advisors,236000.0,8800.0,60000.0,92.0,0
Louisville Cardinals,GE Profile,84000.0,79000.0,86000.0,690.0,0
UCLA Bruins,PUMA,13300.0,693.0,58.0,536.0,0
UCLA Bruins,PUMA,22000.0,12300.0,4300.0,1100.0,0
Pepperdine Waves,PUMA,8900.0,1700.0,698.0,59.0,0
Pepperdine Waves,PUMA,10500.0,3800.0,1300.0,53.0,0
Pepperdine Waves,PUMA,8800.0,1700.0,378.0,261.0,0
Kansas Jayhawks,Charlie Hustle,25000.0,14800.0,828.0,2000.0,1
Kansas Jayhawks,Charlie Hustle,300000.0,73000.0,83000.0,16500.0,1
Kansas Jayhawks,Charlie Hustle,178000.0,92000.0,55000.0,9600.0,1
Kansas Jayhawks,Charlie Hustle,88000.0,28000.0,45000.0,12700.0,1
Missouri Tigers,Charlie Hustle,16900.0,4700.0,115.0,3500.0,1
Illinois Fighting Illini,Charlie Hustle,26000.0,14800.0,155.0,8400.0,1
Miami Hurricanes,Life Wallet,60000.0,9200.0,172.0,4800.0,1
Miami Hurricanes,Life Wallet,92000.0,9300.0,352.0,4500.0,1
Miami Hurricanes,Life Wallet,54000.0,5100.0,104.0,3400.0,1
Miami Hurricanes,Life Wallet,85000.0,3600.0,19.0,669.0,1
Miami Hurricanes,Life Wallet,63000.0,13900.0,2700.0,1400.0,1
Oregon Ducks,Candy Digital,138000.0,82000.0,2200.0,17100.0,1
Florida State Seminoles,Candy Digital,180000.0,93000.0,178000.0,16700.0,1
LSU Tigers,Candy Digital,82000.0,31000.0,4000.0,6700.0,1
Alabama Crimson Tide,Candy Digital,145000.0,61000.0,37000.0,17700.0,1
Wisconsin Badgers,Candy Digital,380000.0,82000.0,9000.0,22000.0,1
Clemson Tigers,Candy Digital,396000.0,151000.0,6500.0,41000.0,1
North Carolina Tar Heels,Candy Digital,392000.0,30000.0,919.0,7100.0,1
Arkansas Razorbacks,Candy Digital,299000.0,81000.0,1700.0,29000.0,1
LSU Tigers,Candy Digital,75000.0,23000.0,628.0,11900.0,1
Alabama Crimson Tide,Morgan & Morgan,97000.0,43000.0,8700.0,18500.0,0
Rutgers Scarlet Knights,16 Handles,28000.0,20000.0,855.0,4100.0,0
North Carolina Tar Heels,Ease Plumbing and Air,134000.0,74000.0,4400.0,26000.0,5
Utah Utes,Jersey Mike's,32000.0,26000.0,3000.0,1700.0,0
Kentucky Wildcats,Onyx Authenticated,524000.0,76000.0,139000.0,42000.0,5
Ohio State Buckeyes,Onyx Authenticated,436000.0,137000.0,1700.0,38000.0,5
Colorado Buffaloes,Boost Mobile,31000.0,2400.0,545.0,2000.0,0
UCLA Bruins,Boost Mobile,105000.0,37000.0,659.0,21000.0,0
Vanderbilt Commodores,Pepsi,42000.0,2900.0,100000.0,874.0,1
Texas A&M Aggies,Pepsi,67000.0,10000.0,60000.0,5200.0,1
Colorado Buffaloes,Pepsi,34000.0,2600.0,23000.0,744.0,1
San Diego State Aztecs,Pepsi,103000.0,49000.0,199000.0,2100.0,1
Penn State Nittany Lions,Pepsi,111000.0,24000.0,243000.0,5300.0,1
Western Michigan Broncos,Pepsi,217000.0,35000.0,21000.0,11400.0,1
Utah Utes,Pepsi,26000.0,1400.0,15500.0,1100.0,1
Kansas Jayhawks,Pepsi,88000.0,28000.0,45000.0,12700.0,1
Florida Gators,Pepsi,86000.0,28000.0,60000.0,9000.0,1
Wisconsin Badgers,Pepsi,169000.0,71000.0,900.0,26000.0,1
Wisconsin Badgers,Pepsi,380000.0,82000.0,9000.0,22000.0,1
Georgia Bulldogs,Pond Lehocky,151000.0,27000.0,1100.0,15500.0,0
Undecided,sweetgreen,9000.0,1900.0,502.0,143.0,0
TCU Horned Frogs,sweetgreen,17700.0,12000.0,1400.0,4400.0,0
Undecided,Nike,83000.0,100000.0,181.0,2100.0,1
Iowa Hawkeyes,Nike,138000.0,153000.0,9500.0,32000.0,1
Stanford Cardinal,Nike,75000.0,88000.0,9200.0,5700.0,1
USC Trojans,Nike,24000.0,22000.0,189.0,904.0,1
Stanford Cardinal,Nike,26000.0,23000.0,1000.0,4500.0,1
Auburn Tigers,FetchMe Delivery,18300.0,4100.0,1600.0,893.0,0
Oklahoma State Cowboys,The GLD Shop,168000.0,123000.0,565000.0,14700.0,4
Clemson Tigers,The GLD Shop,106000.0,40000.0,70000.0,39000.0,4
Florida Gators,Reese’s,58000.0,11200.0,25.0,4300.0,0
South Carolina Gamecocks,SAXX Underwear,73000.0,27000.0,3000.0,8000.0,0
South Carolina Gamecocks,SAXX Underwear,208000.0,25000.0,29.0,14400.0,0
South Carolina Gamecocks,SAXX Underwear,89000.0,36000.0,450.0,22000.0,0
South Carolina Gamecocks,SAXX Underwear,63000.0,17100.0,464.0,8600.0,0
South Carolina Gamecocks,SAXX Underwear,186000.0,13400.0,1400.0,4500.0,0
Clemson Tigers,SoFabFood,293000.0,42000.0,161000.0,23000.0,5
Kansas Jayhawks,Coaches vs. Cancer,178000.0,92000.0,55000.0,9600.0,5
Penn State Nittany Lions,Urban Outfitters,63000.0,26000.0,246000.0,1200.0,1
UCLA Bruins,Urban Outfitters,369000.0,440000.0,237000.0,46000.0,1
Tennessee Volunteers,Urban Outfitters,76000.0,18300.0,425000.0,3300.0,1
Louisville Cardinals,Urban Outfitters,114000.0,138000.0,23000.0,3000.0,1
Georgia Bulldogs,Urban Outfitters,189000.0,58000.0,4700.0,25000.0,1
Texas Longhorns,Urban Outfitters,303000.0,79000.0,113000.0,20000.0,1
Florida State Seminoles,Urban Outfitters,118000.0,135000.0,1500.0,7100.0,1
Michigan Wolverines,Urban Outfitters,207000.0,82000.0,373000.0,12400.0,1
Georgia Bulldogs,Urban Outfitters,325000.0,73000.0,11700.0,23000.0,1
Stanford Cardinal,Urban Outfitters,171000.0,209000.0,64000.0,4500.0,1
UCLA Bruins,Reebok,369000.0,440000.0,237000.0,46000.0,3
Baylor Bears,Reebok,213000.0,252000.0,145000.0,6500.0,3
Oregon State Beavers,Reebok,259000.0,318000.0,15600.0,35000.0,3
Minnesota Golden Gophers,CAMPUS,59000.0,11900.0,20.0,7700.0,0
Florida Gators,CAMPUS,35000.0,15400.0,76000.0,1300.0,0
Florida State Seminoles,CAMPUS,364000.0,45000.0,5100.0,27000.0,0
Florida Gators,Scout,35000.0,15400.0,76000.0,1300.0,0
South Carolina Gamecocks,Grammarly,188000.0,225000.0,27000.0,19500.0,5
NC State Wolfpack,Halo Top Creamery,19800.0,15600.0,480.0,2100.0,0
Undecided,Meyer Center,57000.0,20000.0,12000.0,8700.0,0
Virginia Tech Hokies,CMG Leasing,19500.0,8800.0,2500.0,3400.0,0
Virginia Tech Hokies,CMG Leasing,17100.0,5000.0,370.0,5000.0,0
Duke Blue Devils,nuuly,101000.0,98000.0,176000.0,1000.0,0
LSU Tigers,The Players' Lounge,65000.0,17500.0,3100.0,2300.0,0
Oklahoma Sooners,The Players' Lounge,199000.0,241000.0,2100.0,10000.0,0
South Carolina Gamecocks,Campbell’s Chunky,188000.0,225000.0,27000.0,19500.0,5
UCF Knights,Orlando City SC,11100.0,1400.0,23000.0,124.0,0
UCF Knights,Orlando City SC,12000.0,5400.0,4500.0,485.0,0
Stanford Cardinal,Hyperice,171000.0,209000.0,64000.0,4500.0,5
Pittsburgh Panthers,Fire Fly Recovery,24000.0,4800.0,110000.0,632.0,0
Ole Miss Rebels,Sport Stix Pretzels,160000.0,15100.0,560.0,8000.0,0
Oklahoma Sooners,Premier Girls Fastpitch,61000.0,55000.0,10200.0,18400.0,0
Minnesota Golden Gophers,The Kitchen by Baked Brand,55000.0,19800.0,13600.0,3600.0,0
Auburn Tigers,Beats by Dre,521000.0,58000.0,55.0,7300.0,5
Clemson Tigers,Beats by Dre,396000.0,151000.0,6500.0,41000.0,5
Stanford Cardinal,Beats by Dre,75000.0,88000.0,9200.0,5700.0,5
North Carolina Tar Heels,Beats by Dre,193000.0,180000.0,402000.0,10100.0,5
Washington Huskies,Simply Seattle,340000.0,20000.0,459.0,10400.0,5
LSU Tigers,The Players Lounge,64000.0,15100.0,5900.0,5100.0,0
Auburn Tigers,The Players Lounge,503000.0,15000.0,996.0,9200.0,0
Oklahoma Sooners,The Players Lounge,35000.0,22000.0,3700.0,11600.0,0
Kansas Jayhawks,Rally House,300000.0,73000.0,83000.0,16500.0,5
Miami Hurricanes,Izod,18400.0,10200.0,29000.0,843.0,0
Kansas Jayhawks,Family Promise,29000.0,19800.0,2600.0,4500.0,0
Kansas Jayhawks,Family Promise,300000.0,73000.0,83000.0,16500.0,0
Kansas Jayhawks,Family Promise,20000.0,9000.0,1.0,1300.0,0
UCLA Bruins,Amazon,369000.0,440000.0,237000.0,46000.0,0
Florida Gators,Amazon,76000.0,77000.0,4800.0,9600.0,0
Auburn Tigers,Amazon,125000.0,60000.0,95.0,17200.0,0
Florida Gators,Sonny's BBQ,38000.0,1600.0,175.0,1000.0,1
Florida Gators,Sonny's BBQ,44000.0,9300.0,1300.0,3700.0,1
Florida Gators,Sonny's BBQ,51000.0,12900.0,43000.0,2000.0,1
Florida Gators,Sonny's BBQ,42000.0,5100.0,92.0,5800.0,1
